date,emp_id,name,department,site,shift,status,punch_in,punch_out,hours_worked,gps_location_match,base_salary
2024-01-01,EMP0001,Employee_1,Reception,Site_Delta,Morning,Present,09:13,20:26,8.9,True,20000
2024-01-01,EMP0002,Employee_2,Maintenance,Site_Delta,Afternoon,Present,08:49,17:56,7.7,True,25000
2024-01-01,EMP0003,Employee_3,Housekeeping,Site_Delta,Morning,Present,09:05,19:28,9.5,True,20000
2024-01-01,EMP0004,Employee_4,Reception,Site_Delta,Morning,Present,08:13,17:22,8.8,True,22000
2024-01-01,EMP0005,Employee_5,Maintenance,Site_Delta,Night,Present,08:33,19:02,8.2,True,18000
2024-01-01,EMP0006,Employee_6,Reception,Site_Beta,Night,Present,07:19,18:49,7.9,True,25000
2024-01-01,EMP0007,Employee_7,Security,Site_Delta,Night,Present,07:31,20:11,7.9,True,25000
2024-01-01,EMP0008,Employee_8,Security,Site_Alpha,Night,Present,09:53,19:04,8.7,True,22000
2024-01-01,EMP0009,Employee_9,Housekeeping,Site_Delta,Morning,Present,08:58,17:55,8.4,True,15000
2024-01-01,EMP0010,Employee_10,Maintenance,Site_Delta,Afternoon,Present,09:26,19:07,8.7,True,18000
2024-01-01,EMP0011,Employee_11,Reception,Site_Gamma,Afternoon,Present,09:29,19:05,8.8,True,22000
2024-01-01,EMP0012,Employee_12,Maintenance,Site_Delta,Afternoon,Present,08:33,17:25,10.1,True,15000
2024-01-01,EMP0013,Employee_13,Reception,Site_Alpha,Night,Present,07:04,17:33,9.0,True,25000
2024-01-01,EMP0014,Employee_14,Security,Site_Gamma,Morning,Present,09:52,18:15,7.8,True,15000
2024-01-01,EMP0015,Employee_15,Security,Site_Alpha,Morning,Present,07:48,17:11,10.4,True,18000
2024-01-01,EMP0016,Employee_16,Security,Site_Epsilon,Morning,Present,09:48,20:43,10.3,True,18000
2024-01-01,EMP0017,Employee_17,Housekeeping,Site_Delta,Night,Present,09:20,19:09,8.8,True,15000
2024-01-01,EMP0018,Employee_18,Housekeeping,Site_Delta,Night,Present,08:37,17:22,9.0,True,20000
2024-01-01,EMP0019,Employee_19,Maintenance,Site_Beta,Night,Present,07:23,19:04,9.4,True,25000
2024-01-01,EMP0020,Employee_20,Security,Site_Beta,Afternoon,Present,09:32,20:29,,True,15000
2024-01-01,EMP0021,Employee_21,Security,Site_Gamma,Night,Present,07:28,18:20,9.3,True,22000
2024-01-01,EMP0022,Employee_22,Reception,Site_Beta,Morning,Absent,,,0.0,,25000
2024-01-01,EMP0023,Employee_23,Housekeeping,Site_Alpha,Night,Present,08:45,17:32,9.4,False,20000
2024-01-01,EMP0024,Employee_24,Security,Site_Epsilon,Morning,Present,08:33,18:23,8.6,True,20000
2024-01-01,EMP0025,Employee_25,Reception,Site_Gamma,Morning,Present,08:43,17:50,9.4,True,25000
2024-01-01,EMP0026,Employee_26,Maintenance,Site_Alpha,Afternoon,Present,09:43,20:18,8.3,True,22000
2024-01-01,EMP0027,Employee_27,Security,Site_Delta,Afternoon,Absent,,,0.0,,22000
2024-01-01,EMP0028,Employee_28,Housekeeping,Site_Delta,Morning,Present,07:21,17:37,9.5,True,25000
2024-01-01,EMP0029,Employee_29,Maintenance,Site_Epsilon,Night,Present,09:44,20:08,9.3,True,22000
2024-01-01,EMP0030,Employee_30,Reception,Site_Delta,Night,Present,08:41,19:52,7.9,True,25000
2024-01-01,EMP0031,Employee_31,Maintenance,Site_Gamma,Morning,Absent,,,0.0,,15000
2024-01-01,EMP0032,Employee_32,Maintenance,Site_Delta,Morning,Absent,,,0.0,,22000
2024-01-01,EMP0033,Employee_33,Reception,Site_Gamma,Morning,Late,10:41,19:27,6.3,True,22000
2024-01-01,EMP0034,Employee_34,Maintenance,Site_Beta,Afternoon,Present,08:11,18:21,10.3,True,18000
2024-01-01,EMP0035,Employee_35,Maintenance,Site_Gamma,Afternoon,Present,07:09,17:18,10.0,True,20000
2024-01-01,EMP0036,Employee_36,Maintenance,Site_Epsilon,Morning,Present,09:56,17:42,8.5,True,25000
2024-01-01,EMP0037,Employee_37,Housekeeping,Site_Alpha,Morning,Present,08:09,18:11,10.0,True,22000
2024-01-01,EMP0038,Employee_38,Reception,Site_Epsilon,Morning,Present,07:46,20:02,8.7,True,22000
2024-01-01,EMP0039,Employee_39,Reception,Site_Delta,Morning,Present,08:39,19:48,9.7,True,15000
2024-01-01,EMP0040,Employee_40,Maintenance,Site_Beta,Afternoon,Present,08:51,20:57,10.0,True,18000
2024-01-01,EMP0041,Employee_41,Maintenance,Site_Epsilon,Afternoon,Absent,,,0.0,,22000
2024-01-01,EMP0042,Employee_42,Maintenance,Site_Delta,Night,Absent,,,0.0,,25000
2024-01-01,EMP0043,Employee_43,Maintenance,Site_Gamma,Night,Present,08:49,20:32,9.1,True,22000
